epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.248,1.47267,1.36279,0.96237,0.34171,0.26224,0.23751,0.13547,1.45223,1.22602,0.9631,0.0670815,0.00033251,0.00033251
2,588.024,1.45809,1.20265,0.96047,0.32833,0.26297,0.24022,0.13845,1.45463,1.24771,0.93784,0.0340814,0.000665803,0.000665803
3,882.682,1.45941,1.19115,0.9582,0.36704,0.27206,0.25469,0.14717,1.41115,1.15876,0.93827,0.00108124,0.000998933,0.000998933
4,1177.2,1.41917,1.14226,0.95053,0.37224,0.29737,0.28436,0.16644,1.37752,1.11702,0.93438,0.00099945,0.00099945,0.00099945
5,1471.68,1.39812,1.09715,0.94443,0.43039,0.32334,0.31257,0.18297,1.34013,1.04672,0.92881,0.000999023,0.000999023,0.000999023
6,1766.39,1.37554,1.07317,0.93759,0.42415,0.32384,0.32056,0.18771,1.33616,1.03997,0.92235,0.000998474,0.000998474,0.000998474
7,2060.61,1.35962,1.04805,0.93488,0.41618,0.33499,0.32195,0.19206,1.32135,1.02816,0.91938,0.000997803,0.000997803,0.000997803
8,2355.32,1.3451,1.02674,0.92894,0.45661,0.34474,0.34465,0.20691,1.29365,0.9904,0.91752,0.000997011,0.000997011,0.000997011
9,2649.68,1.32361,1.00072,0.92743,0.4589,0.33445,0.33647,0.19957,1.30802,1.02659,0.91764,0.000996097,0.000996097,0.000996097
10,2943.52,1.33588,1.01737,0.92869,0.42571,0.36048,0.351,0.20842,1.29331,0.98923,0.91515,0.000995062,0.000995062,0.000995062
11,3237.99,1.31765,0.9875,0.92308,0.44638,0.35031,0.35004,0.20738,1.27967,0.98246,0.90831,0.000993906,0.000993906,0.000993906
12,3532.56,1.31753,0.9802,0.9209,0.46037,0.35592,0.35514,0.21236,1.28539,0.97939,0.91132,0.000992629,0.000992629,0.000992629
13,3826.42,1.30946,0.97764,0.92342,0.46245,0.35026,0.35934,0.21589,1.26403,0.95696,0.90487,0.000991232,0.000991232,0.000991232
14,4120.76,1.30008,0.96698,0.92073,0.4713,0.35577,0.36139,0.21638,1.27082,0.96719,0.90709,0.000989715,0.000989715,0.000989715
