epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.567,1.33177,1.07242,0.99797,0.47549,0.3971,0.39104,0.23598,1.30328,1.08815,1.00557,0.0683529,0.00166564,0.00166564
2,769.414,1.40092,1.18234,1.03069,0.47043,0.37245,0.36909,0.22212,1.34545,1.11013,1.01886,0.0366854,0.00333149,0.00333149
3,1144.69,1.40801,1.19004,1.03278,0.47107,0.36584,0.3727,0.22405,1.34899,1.10045,1.02187,0.00501469,0.00499409,0.00499409
4,1518.58,1.39812,1.15514,1.02631,0.4788,0.3935,0.39409,0.23708,1.30221,1.04701,1.01184,0.00498902,0.00498902,0.00498902
5,1893.47,1.38165,1.12969,1.02344,0.48296,0.3784,0.38395,0.23038,1.32484,1.06285,1.01096,0.00498048,0.00498048,0.00498048
6,2268.68,1.38523,1.14096,1.02975,0.49632,0.39851,0.40228,0.24099,1.31594,1.03516,1.01106,0.00496953,0.00496953,0.00496953
7,2643.6,1.36239,1.1073,1.01609,0.46932,0.39738,0.39324,0.23593,1.33683,1.04788,1.01537,0.00495616,0.00495616,0.00495616
8,3018,1.37669,1.12034,1.02045,0.4907,0.40028,0.40552,0.24619,1.29256,1.01941,1.00453,0.00494039,0.00494039,0.00494039
9,3392.52,1.36504,1.10991,1.01678,0.51701,0.40776,0.41583,0.25285,1.2702,0.99865,0.99796,0.00492224,0.00492224,0.00492224
10,3767.61,1.36347,1.10487,1.01723,0.49395,0.40636,0.40638,0.24607,1.30625,1.04708,1.00751,0.00490173,0.00490173,0.00490173
11,4142.02,1.36016,1.09754,1.01506,0.51336,0.40123,0.41245,0.24912,1.2778,1.01899,0.99962,0.00487886,0.00487886,0.00487886
12,4516.88,1.35652,1.09921,1.01472,0.50678,0.41139,0.41726,0.25133,1.2935,1.00286,1.00374,0.00485368,0.00485368,0.00485368
13,4889.89,1.35897,1.09911,1.01754,0.52923,0.40748,0.4245,0.25933,1.27616,0.99585,0.99873,0.0048262,0.0048262,0.0048262
14,5264.28,1.35031,1.09369,1.01819,0.5042,0.40736,0.41784,0.25448,1.27352,1.00201,0.99402,0.00479644,0.00479644,0.00479644
15,5639.46,1.34567,1.08353,1.00953,0.5038,0.4185,0.42515,0.25765,1.2749,0.99401,0.99715,0.00476445,0.00476445,0.00476445
16,6012.62,1.35479,1.09986,1.01756,0.5169,0.41289,0.42039,0.25585,1.28414,0.99043,0.99941,0.00473024,0.00473024,0.00473024
17,6386.72,1.34924,1.07805,1.01399,0.52035,0.4139,0.42365,0.2586,1.26192,0.99567,0.99273,0.00469386,0.00469386,0.00469386
18,6761.6,1.34491,1.07579,1.01186,0.51557,0.42715,0.43159,0.26644,1.24108,0.96589,0.98869,0.00465534,0.00465534,0.00465534
19,7137.21,1.34921,1.06178,1.00841,0.52273,0.42213,0.43312,0.26228,1.26671,0.97939,0.9954,0.00461471,0.00461471,0.00461471
20,7513.74,1.34234,1.07628,1.01423,0.52059,0.42042,0.43046,0.26417,1.25445,0.97384,0.99183,0.00457202,0.00457202,0.00457202
21,7893.16,1.32685,1.05822,1.0127,0.52807,0.41555,0.43258,0.26525,1.26658,0.99,1.00043,0.00452732,0.00452732,0.00452732
22,8266.79,1.34367,1.05829,1.01019,0.53962,0.41067,0.43414,0.26319,1.26205,0.9734,0.99406,0.00448063,0.00448063,0.00448063
23,8640.58,1.33218,1.05563,1.008,0.51644,0.42167,0.43316,0.26214,1.26055,0.9825,0.99573,0.00443202,0.00443202,0.00443202
24,9014.97,1.32793,1.04508,1.00501,0.5371,0.42864,0.44071,0.26913,1.25708,0.96576,0.98781,0.00438152,0.00438152,0.00438152
25,9391.92,1.33747,1.04949,1.00917,0.52824,0.428,0.44754,0.27457,1.23559,0.94617,0.98299,0.0043292,0.0043292,0.0043292
26,9766.82,1.33798,1.05551,1.00398,0.53914,0.43205,0.44763,0.27562,1.24238,0.94326,0.98551,0.00427509,0.00427509,0.00427509
27,10140.8,1.32064,1.03601,1.00453,0.54663,0.43812,0.45426,0.28014,1.21954,0.93192,0.9782,0.00421925,0.00421925,0.00421925
28,10516,1.33397,1.04722,1.00852,0.53815,0.42559,0.44639,0.27449,1.2332,0.94265,0.98212,0.00416175,0.00416175,0.00416175
29,10892.2,1.31131,1.03436,0.99937,0.54142,0.42996,0.44975,0.27556,1.23414,0.94117,0.98237,0.00410262,0.00410262,0.00410262
30,11267.2,1.31453,1.02417,1.00186,0.53854,0.42811,0.44864,0.27728,1.22318,0.94023,0.98115,0.00404194,0.00404194,0.00404194
31,11641.3,1.32384,1.03233,1.00506,0.5496,0.44238,0.46131,0.28333,1.22189,0.91938,0.97956,0.00397977,0.00397977,0.00397977
32,12013.8,1.31615,1.01078,0.99803,0.54949,0.43899,0.45886,0.28356,1.21746,0.91962,0.98049,0.00391616,0.00391616,0.00391616
33,12385.3,1.31107,1.01932,0.99907,0.55105,0.43482,0.45694,0.282,1.22317,0.92027,0.97916,0.00385117,0.00385117,0.00385117
34,12757.6,1.30812,1.0048,1.0002,0.5543,0.44657,0.46348,0.28696,1.21121,0.91618,0.97419,0.00378488,0.00378488,0.00378488
35,13129.7,1.31243,1.01414,0.99691,0.54446,0.45076,0.46832,0.2919,1.2057,0.90548,0.97384,0.00371734,0.00371734,0.00371734
36,13502.2,1.2976,1.00251,0.99303,0.55346,0.44984,0.46927,0.29116,1.21119,0.90271,0.97422,0.00364863,0.00364863,0.00364863
37,13874.3,1.30615,1.00988,0.9929,0.5507,0.45554,0.47041,0.29042,1.21352,0.90126,0.97833,0.0035788,0.0035788,0.0035788
38,14247,1.29747,0.99665,0.99255,0.55199,0.44857,0.47289,0.29287,1.20861,0.90774,0.97345,0.00350794,0.00350794,0.00350794
39,14621,1.31396,1.00758,0.99558,0.56274,0.45632,0.4762,0.29581,1.21492,0.89167,0.97388,0.00343611,0.00343611,0.00343611
40,14993.5,1.28806,0.98532,0.99137,0.56616,0.45549,0.47581,0.29615,1.20637,0.90298,0.97075,0.00336338,0.00336338,0.00336338
41,15366.3,1.29599,0.9936,0.99066,0.56783,0.45871,0.48137,0.29755,1.20532,0.89276,0.972,0.00328982,0.00328982,0.00328982
42,15736.8,1.28576,0.97394,0.98532,0.57091,0.45181,0.47731,0.29699,1.19637,0.89105,0.96748,0.0032155,0.0032155,0.0032155
43,16107.1,1.29913,0.98736,0.98929,0.57171,0.45988,0.48115,0.30075,1.19576,0.88473,0.97085,0.00314051,0.00314051,0.00314051
44,16480.5,1.28012,0.96704,0.98279,0.56373,0.46626,0.48534,0.30302,1.19517,0.87707,0.96837,0.0030649,0.0030649,0.0030649
45,16852.9,1.27949,0.97691,0.98786,0.56585,0.46711,0.48347,0.30204,1.19338,0.88196,0.9682,0.00298877,0.00298877,0.00298877
46,17224.9,1.27316,0.96674,0.98568,0.58043,0.45662,0.48477,0.30382,1.18899,0.88168,0.96614,0.00291218,0.00291218,0.00291218
47,17597.1,1.28004,0.96131,0.97895,0.58035,0.46306,0.4916,0.30726,1.18207,0.86951,0.96416,0.0028352,0.0028352,0.0028352
