epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.311,1.28084,0.9678,0.97851,0.50906,0.39711,0.40039,0.24239,1.29206,1.01722,0.99032,0.0700371,0.00332921,0.00332921
2,659.395,1.34745,1.06839,1.00753,0.44248,0.3795,0.37213,0.21957,1.3638,1.09461,1.02107,0.0400306,0.00665604,0.00665604
3,982.466,1.37571,1.11057,1.0172,0.47572,0.36475,0.37173,0.21878,1.36953,1.08791,1.02493,0.00999807,0.00995686,0.00995686
4,1305.57,1.37719,1.10847,1.01951,0.44969,0.37088,0.36681,0.21488,1.3318,1.0963,1.00415,0.00991232,0.00991232,0.00991232
5,1628.25,1.38108,1.09905,1.0228,0.44012,0.37917,0.36716,0.2193,1.35312,1.06855,1.01808,0.00984449,0.00984449,0.00984449
6,1951.01,1.37068,1.10007,1.01416,0.45529,0.36454,0.37115,0.21962,1.34433,1.06211,1.01173,0.00975773,0.00975773,0.00975773
7,2273.34,1.36624,1.09473,1.01798,0.51882,0.37875,0.39275,0.2344,1.35082,1.05463,1.01182,0.00965239,0.00965239,0.00965239
8,2594.98,1.36944,1.08918,1.01577,0.48295,0.37121,0.37335,0.2271,1.31011,1.05158,1.00008,0.00952889,0.00952889,0.00952889
9,2917.49,1.36948,1.09759,1.01708,0.51934,0.39456,0.40833,0.2439,1.31267,1.00793,1.00022,0.00938772,0.00938772,0.00938772
10,3240.33,1.36499,1.08233,1.01849,0.48647,0.38611,0.39317,0.2371,1.31082,1.0596,1.00005,0.00922942,0.00922942,0.00922942
11,3562.32,1.36735,1.09163,1.01295,0.49934,0.38811,0.39874,0.24143,1.30226,1.02013,1.0011,0.00905463,0.00905463,0.00905463
12,3884.24,1.36411,1.07995,1.01504,0.45527,0.38766,0.37126,0.21934,1.33561,1.0523,1.00959,0.00886404,0.00886404,0.00886404
13,4206.41,1.38341,1.10533,1.0222,0.49118,0.38868,0.39673,0.2394,1.30967,1.03785,0.99399,0.00865839,0.00865839,0.00865839
14,4527.37,1.36042,1.0808,1.0162,0.49044,0.4033,0.40232,0.24481,1.29171,1.00747,0.99248,0.00843851,0.00843851,0.00843851
15,4849.35,1.34872,1.06433,1.00857,0.49953,0.38997,0.39916,0.23996,1.30502,1.03057,0.99628,0.00820525,0.00820525,0.00820525
16,5169.88,1.35205,1.06744,1.01392,0.49929,0.40006,0.40122,0.23963,1.30242,0.99671,0.99555,0.00795954,0.00795954,0.00795954
17,5491.39,1.34784,1.06076,1.01248,0.50239,0.39799,0.39947,0.24237,1.29482,1.00992,0.98955,0.00770234,0.00770234,0.00770234
18,5813.21,1.34186,1.05165,1.00831,0.5166,0.40853,0.41271,0.2491,1.27701,0.98463,0.99193,0.00743468,0.00743468,0.00743468
19,6135.22,1.33568,1.03404,1.00483,0.52577,0.40756,0.42094,0.25525,1.27705,0.97525,0.9877,0.00715761,0.00715761,0.00715761
20,6457.53,1.34736,1.04626,1.00482,0.53057,0.42787,0.43669,0.26525,1.25489,0.96155,0.98061,0.00687222,0.00687222,0.00687222
21,6779.07,1.32276,1.02459,1.00358,0.53149,0.42159,0.4347,0.26683,1.25229,0.95893,0.97959,0.00657963,0.00657963,0.00657963
22,7100.7,1.33393,1.03283,1.0015,0.42655,0.42019,0.33191,0.19039,1.27131,1.01186,0.98858,0.00628101,0.00628101,0.00628101
23,7421.75,1.31599,1.01422,0.99674,0.53839,0.42956,0.44158,0.271,1.24613,0.93774,0.9791,0.00597754,0.00597754,0.00597754
24,7743.42,1.31731,1.00243,0.99414,0.54854,0.43786,0.44605,0.27149,1.24908,0.93748,0.97812,0.0056704,0.0056704,0.0056704
25,8065.08,1.30174,0.99295,0.99487,0.5382,0.43634,0.44985,0.27655,1.22876,0.9244,0.97235,0.00536081,0.00536081,0.00536081
26,8386.08,1.30516,0.99576,0.99372,0.54239,0.44746,0.46138,0.28177,1.23112,0.91262,0.97227,0.00505,0.00505,0.00505
27,8706.84,1.2908,0.97588,0.99481,0.53897,0.43633,0.45149,0.2784,1.23624,0.92362,0.97082,0.00473919,0.00473919,0.00473919
28,9027.15,1.29092,0.97146,0.98767,0.55249,0.43804,0.45733,0.28227,1.2267,0.90391,0.96952,0.0044296,0.0044296,0.0044296
29,9348.71,1.27505,0.95864,0.97881,0.56007,0.45142,0.47182,0.292,1.20791,0.89317,0.96244,0.00412246,0.00412246,0.00412246
30,9669.55,1.2783,0.95259,0.98106,0.54075,0.45582,0.47331,0.29411,1.20486,0.89003,0.96099,0.00381899,0.00381899,0.00381899
31,9989.67,1.26648,0.93972,0.9806,0.55034,0.45738,0.4713,0.29085,1.2079,0.89485,0.9634,0.00352037,0.00352037,0.00352037
32,10310.2,1.25335,0.92394,0.97575,0.57765,0.46113,0.48388,0.2998,1.20008,0.87525,0.96022,0.00322778,0.00322778,0.00322778
33,10630.1,1.24935,0.91572,0.9752,0.56972,0.4686,0.48328,0.30147,1.20044,0.86688,0.95901,0.00294239,0.00294239,0.00294239
34,10950.1,1.23105,0.89697,0.9694,0.57262,0.46697,0.4842,0.3004,1.19192,0.87075,0.95819,0.00266532,0.00266532,0.00266532
35,11269.8,1.2392,0.89767,0.96956,0.57234,0.47103,0.49234,0.30711,1.18974,0.85666,0.95523,0.00239766,0.00239766,0.00239766
36,11589.4,1.22691,0.88929,0.96294,0.577,0.47007,0.49467,0.31026,1.18079,0.84905,0.95337,0.00214046,0.00214046,0.00214046
37,11909.1,1.21826,0.87724,0.96226,0.58725,0.4819,0.50408,0.31327,1.18108,0.83893,0.95287,0.00189475,0.00189475,0.00189475
